Year,Month,Day,MinTemp,MaxTemp,Precipitation,Snowfall
2015,1,1,28,150,0,0
2015,1,2,39,161,0,0
2015,1,3,44,172,0,0
2015,1,4,56,206,0,0
2015,1,5,100,272,0,0
2015,1,6,139,289,0,0
2015,1,7,117,294,0,0
2015,1,8,106,239,0,0
2015,1,9,133,222,0,0
2015,1,10,111,172,122,0
2015,1,11,133,172,127,0
2015,1,12,117,189,0,0
2015,1,13,122,200,0,0
2015,1,14,83,228,0,0
2015,1,15,106,244,0,0
2015,1,16,100,250,0,0
2015,1,17,100,256,0,0
2015,1,18,117,239,0,0
2015,1,19,100,222,0,0
2015,1,20,117,172,0,0
2015,1,21,122,217,0,0
2015,1,22,83,239,0,0
2015,1,23,100,239,0,0
2015,1,24,94,278,0,0
2015,1,25,89,283,0,0
2015,1,26,139,267,20,0
2015,1,27,139,233,0,0
2015,1,28,133,239,0,0
2015,1,29,156,239,0,0
2015,1,30,150,211,8,0
2015,1,31,133,217,0,0
2015,2,1,94,244,0,0
2015,2,2,106,256,0,0
2015,2,3,106,222,0,0
2015,2,4,133,222,0,0
2015,2,5,117,278,0,0
2015,2,6,122,239,0,0
2015,2,7,122,206,5,0
2015,2,8,150,250,0,0
2015,2,9,144,228,0,0
2015,2,10,117,256,0,0
2015,2,11,128,294,0,0
2015,2,12,133,294,0,0
2015,2,13,139,311,0,0
2015,2,14,133,300,0,0
2015,2,15,122,267,0,0
2015,2,16,133,211,0,0
2015,2,17,139,217,0,0
2015,2,18,128,239,0,0
2015,2,19,139,222,0,0
2015,2,20,133,211,0,0
2015,2,21,139,206,0,0
2015,2,22,117,178,178,0
2015,2,23,100,183,0,0
2015,2,24,78,233,0,0
2015,2,25,106,222,0,0
2015,2,26,106,211,0,0
2015,2,27,128,189,0,0
2015,2,28,111,183,28,0
2015,3,1,100,183,168,0
2015,3,3,89,194,0,0
2015,3,4,89,222,0,0
2015,3,5,106,250,0,0
2015,3,6,94,283,0,0
2015,3,7,122,300,0,0
2015,3,8,117,256,0,0
2015,3,9,139,228,0,0
2015,3,10,128,267,0,0
2015,3,11,156,228,0,0
2015,3,12,133,300,0,0
2015,3,13,161,322,0,0
2015,3,14,167,339,0,0
2015,3,15,189,333,0,0
2015,3,16,189,322,0,0
2015,3,17,172,278,0,0
2015,3,18,167,239,0,0
2015,3,19,156,244,0,0
2015,3,20,150,256,0,0
2015,3,21,167,239,0,0
2015,3,22,150,222,0,0
2015,3,23,139,228,0,0
2015,3,24,144,239,0,0
2015,3,25,156,289,0,0
2015,3,26,161,333,0,0
2015,3,27,167,328,0,0
2015,3,28,161,272,0,0
2015,3,29,133,256,0,0
2015,3,30,139,256,0,0
2015,3,31,139,228,0,0
2015,4,1,144,233,0,0
2015,4,2,122,239,0,0
2015,4,3,139,300,0,0
2015,4,4,150,289,0,0
2015,4,5,139,217,0,0
2015,4,6,117,194,0,0
2015,4,7,106,194,33,0
2015,4,8,94,211,0,0
2015,4,9,117,244,0,0
2015,4,10,122,217,0,0
2015,4,11,117,222,0,0
2015,4,12,139,250,0,0
2015,4,13,144,239,0,0
2015,4,14,144,228,0,0
2015,4,15,139,267,0,0
2015,4,16,122,272,0,0
2015,4,17,133,272,0,0
2015,4,18,133,272,0,0
2015,4,19,128,239,0,0
2015,4,20,128,211,0,0
2015,4,21,144,194,0,0
2015,4,22,139,206,0,0
2015,4,23,128,206,0,0
2015,4,24,139,194,0,0
2015,4,25,133,189,0,0
2015,4,26,122,250,0,0
2015,4,27,139,278,0,0
2015,4,28,161,333,0,0
2015,4,29,156,317,0,0
2015,4,30,156,300,0,0
2015,5,1,139,289,0,0
2015,5,2,150,267,0,0
2015,5,3,144,233,0,0
2015,5,4,133,206,0,0
2015,5,5,144,194,0,0
2015,5,6,144,194,0,0
2015,5,7,122,183,8,0
2015,5,8,100,172,46,0
2015,5,9,128,206,0,0
2015,5,10,122,222,0,0
2015,5,11,139,244,0,0
2015,5,12,139,222,0,0
2015,5,13,144,206,0,0
2015,5,14,117,200,175,0
2015,5,15,128,189,8,0
2015,5,16,133,217,0,0
2015,5,17,144,222,0,0
2015,5,18,156,217,0,0
2015,5,19,133,228,0,0
2015,5,20,139,222,0,0
2015,5,21,139,217,0,0
2015,5,22,139,206,0,0
2015,5,23,139,217,0,0
2015,5,24,144,211,0,0
2015,5,25,139,217,0,0
2015,5,26,150,206,0,0
2015,5,27,144,222,0,0
2015,5,28,139,239,0,0
2015,5,29,144,250,0,0
2015,5,30,150,250,0,0
2015,5,31,150,228,0,0
2015,6,1,150,239,0,0
2015,6,2,156,244,0,0
2015,6,3,161,233,0,0
2015,6,4,161,211,0,0
2015,6,5,156,228,0,0
2015,6,6,144,222,0,0
2015,6,7,156,250,0,0
2015,6,8,156,294,0,0
2015,6,9,167,300,3,0
2015,6,10,167,228,0,0
2015,6,11,167,239,0,0
2015,6,12,172,222,0,0
2015,6,13,172,222,0,0
2015,6,14,172,250,0,0
2015,6,15,167,256,0,0
2015,6,16,161,261,0,0
2015,6,17,167,256,0,0
2015,6,18,167,272,0,0
2015,6,19,144,278,0,0
2015,6,20,172,294,0,0
2015,6,21,178,278,0,0
2015,6,22,167,283,0,0
2015,6,23,172,289,0,0
2015,6,24,172,283,0,0
2015,6,25,167,272,0,0
2015,6,26,156,256,0,0
2015,6,27,167,250,0,0
2015,6,28,194,300,0,0
2015,6,29,200,328,0,0
2015,6,30,194,317,0,0
2015,7,1,194,289,0,0
2015,7,2,183,283,0,0
2015,7,3,172,267,0,0
2015,7,4,172,261,0,0
2015,7,5,178,239,0,0
2015,7,6,178,239,0,0
2015,7,7,183,250,0,0
2015,7,8,189,239,0,0
2015,7,9,178,244,0,0
2015,7,10,167,244,0,0
2015,7,11,167,261,0,0
2015,7,12,167,272,0,0
2015,7,13,178,289,0,0
2015,7,14,178,289,0,0
2015,7,15,183,272,0,0
2015,7,16,183,272,0,0
2015,7,17,172,272,0,0
2015,7,18,183,306,91,0
2015,7,19,222,333,5,0
2015,7,20,211,294,0,0
2015,7,21,211,267,0,0
2015,7,22,200,272,0,0
2015,7,23,200,278,0,0
2015,7,24,194,294,0,0
2015,7,25,194,306,0,0
2015,7,26,194,294,0,0
2015,7,27,194,278,0,0
2015,7,28,189,294,0,0
2015,7,29,183,278,0,0
2015,7,30,200,283,0,0
2015,7,31,194,289,0,0
2015,8,1,194,283,0,0
2015,8,2,189,289,0,0
2015,8,3,194,289,0,0
2015,8,4,194,311,0,0
2015,8,5,194,311,0,0
2015,8,6,194,300,0,0
2015,8,7,189,272,0,0
2015,8,8,183,272,0,0
2015,8,9,172,256,0,0
2015,8,10,172,256,0,0
2015,8,11,172,272,0,0
2015,8,12,172,294,0,0
2015,8,13,200,328,0,0
2015,8,14,200,328,0,0
2015,8,15,217,356,0,0
2015,8,16,200,350,0,0
2015,8,17,206,311,0,0
2015,8,18,200,300,0,0
2015,8,19,194,278,0,0
2015,8,20,194,272,0,0
2015,8,21,194,267,0,0
2015,8,22,200,283,0,0
2015,8,23,189,283,0,0
2015,8,24,194,306,0,0
2015,8,25,217,306,0,0
2015,8,26,228,333,0,0
2015,8,27,217,339,0,0
2015,8,28,228,361,0,0
2015,8,29,228,344,0,0
2015,8,30,217,322,0,0
2015,8,31,206,294,0,0
2015,9,1,206,283,0,0
2015,9,2,194,272,0,0
2015,9,3,189,267,0,0
2015,9,4,189,261,0,0
2015,9,5,183,294,0,0
2015,9,6,178,322,0,0
2015,9,7,200,344,0,0
2015,9,8,228,361,0,0
2015,9,9,244,383,0,0
2015,9,10,256,356,0,0
2015,9,11,244,350,0,0
2015,9,12,244,322,0,0
2015,9,13,222,328,0,0
2015,9,14,217,289,0,0
2015,9,15,194,267,607,0
2015,9,16,189,256,0,0
2015,9,17,183,278,0,0
2015,9,18,183,306,0,0
2015,9,19,194,333,0,0
2015,9,20,211,367,0,0
2015,9,21,222,300,0,0
2015,9,22,211,289,0,0
2015,9,23,200,300,0,0
2015,9,24,200,333,0,0
2015,9,25,206,339,0,0
2015,9,26,211,333,0,0
2015,9,27,194,322,0,0
2015,9,28,200,311,0,0
2015,9,29,178,306,0,0
2015,9,30,189,317,0,0
2015,10,1,206,306,0,0
2015,10,2,200,289,0,0
2015,10,3,183,289,0,0
2015,10,4,167,228,13,0
2015,10,5,167,244,102,0
2015,10,6,167,256,0,0
2015,10,7,178,289,0,0
2015,10,8,183,317,0,0
2015,10,9,200,378,0,0
2015,10,10,222,378,0,0
2015,10,11,233,378,0,0
2015,10,12,228,339,0,0
2015,10,13,233,333,0,0
2015,10,14,222,300,0,0
2015,10,15,211,283,0,0
2015,10,16,211,239,0,0
2015,10,17,206,278,0,0
2015,10,18,200,261,0,0
2015,10,19,183,261,0,0
2015,10,20,167,267,0,0
2015,10,21,172,289,0,0
2015,10,22,183,267,0,0
2015,10,23,167,267,0,0
2015,10,24,172,322,0,0
2015,10,25,189,300,0,0
2015,10,26,161,311,0,0
2015,10,27,161,278,0,0
2015,10,28,189,267,0,0
2015,10,29,200,283,0,0
2015,10,30,183,300,0,0
2015,10,31,156,317,0,0
2015,11,1,150,300,0,0
2015,11,2,150,239,0,0
2015,11,3,117,211,0,0
2015,11,4,100,206,0,0
2015,11,5,100,217,0,0
2015,11,6,106,250,0,0
2015,11,7,100,267,0,0
2015,11,8,111,256,0,0
2015,11,9,128,200,0,0
2015,11,10,100,200,0,0
2015,11,11,89,222,0,0
2015,11,12,106,250,0,0
2015,11,13,100,278,0,0
2015,11,14,106,256,0,0
2015,11,15,106,206,0,0
2015,11,16,100,172,0,0
2015,11,17,72,222,0,0
2015,11,18,89,244,0,0
2015,11,19,106,300,0,0
2015,11,20,128,294,0,0
2015,11,21,139,306,0,0
2015,11,22,150,294,0,0
2015,11,23,128,272,0,0
2015,11,24,111,211,3,0
2015,11,25,100,172,0,0
2015,11,26,89,178,0,0
2015,11,27,100,178,0,0
2015,11,28,78,178,0,0
2015,11,29,100,194,0,0
2015,11,30,78,189,0,0
2015,12,1,83,222,0,0
2015,12,2,100,256,0,0
2015,12,3,133,244,0,0
2015,12,4,106,194,0,0
2015,12,5,94,250,0,0
2015,12,6,133,256,0,0
2015,12,7,128,272,0,0
2015,12,8,122,283,0,0
2015,12,9,128,239,0,0
2015,12,10,111,200,0,0
2015,12,11,111,183,13,0
2015,12,12,106,200,0,0
2015,12,14,83,150,0,0
2015,12,15,56,161,0,0
2015,12,16,44,161,0,0
2015,12,17,56,189,0,0
2015,12,18,83,222,0,0
2015,12,20,67,161,0,0
2015,12,22,122,167,18,0
2015,12,23,111,194,0,0
2015,12,24,83,167,0,0
2015,12,25,67,150,0,0
2015,12,26,56,167,0,0
2015,12,27,22,161,0,0
2015,12,29,50,161,0,0
2015,12,30,50,167,0,0
2015,12,31,50,183,0,0
2016,1,1,61,178,0,0
2016,1,2,83,183,0,0
2016,1,3,67,167,0,0
2016,1,4,128,206,3,0
2016,1,8,67,167,0,0
2016,1,10,106,167,0,0
2016,1,11,83,178,0,0
2016,1,12,78,211,0,0
2016,1,13,61,189,0,0
2016,1,14,100,183,0,0
2016,1,15,100,183,0,0
2016,1,16,122,194,0,0
2016,1,17,94,200,0,0
2016,1,18,128,172,0,0
2016,1,19,122,178,3,0
2016,1,20,122,206,3,0
2016,1,21,100,250,0,0
2016,1,22,100,217,0,0
2016,1,23,122,178,0,0
2016,1,24,83,189,0,0
2016,1,25,100,217,0,0
2016,1,26,83,228,0,0
2016,1,27,111,228,0,0
2016,1,28,100,233,0,0
2016,1,29,100,222,0,0
2016,1,30,128,189,0,0
2016,1,31,100,150,109,0
2016,2,1,61,144,0,0
2016,2,2,50,167,0,0
2016,2,3,61,183,0,0
2016,2,4,78,211,0,0
2016,2,5,78,244,0,0
2016,2,6,100,250,0,0
2016,2,7,106,289,0,0
2016,2,8,117,311,0,0
2016,2,9,133,317,0,0
2016,2,10,161,311,0,0
2016,2,11,150,306,0,0
2016,2,12,133,294,0,0
2016,2,13,106,239,0,0
2016,2,14,89,261,0,0
2016,2,15,128,317,0,0
2016,2,16,144,322,0,0
2016,2,17,128,244,147,0
2016,2,18,133,200,53,0
2016,2,19,106,206,0,0
2016,2,20,100,222,0,0
2016,2,21,100,228,0,0
2016,2,22,106,256,0,0
2016,2,23,128,283,0,0
2016,2,24,144,272,0,0
2016,2,25,139,283,0,0
2016,2,26,122,261,0,0
2016,2,27,117,233,0,0
2016,2,28,133,239,0,0
2016,2,29,133,233,0,0
2016,3,1,133,244,0,0
2016,3,2,111,228,0,0
2016,3,3,122,233,0,0
2016,3,4,139,211,0,0
2016,3,5,150,194,3,0
2016,3,6,122,194,163,0
2016,3,8,94,222,0,0
2016,3,9,117,233,0,0
2016,3,10,122,250,0,0
2016,3,11,111,206,132,0
2016,3,12,83,189,0,0
2016,3,13,117,200,0,0
2016,3,14,144,211,8,0
2016,3,15,117,250,0,0
2016,3,16,139,306,0,0
2016,3,17,150,272,0,0
2016,3,18,139,228,0,0
2016,3,19,139,217,0,0
2016,3,20,139,222,0,0
2016,3,21,139,217,0,0
2016,3,22,117,217,0,0
2016,3,23,111,250,0,0
2016,3,24,128,272,0,0
2016,3,25,122,256,0,0
2016,3,26,150,250,0,0
2016,3,27,150,233,0,0
2016,3,28,122,189,5,0
2016,3,30,111,189,0,0
2016,3,31,100,222,0,0
2016,4,1,122,222,0,0
2016,4,2,122,244,0,0
2016,4,3,133,261,0,0
2016,4,4,144,267,0,0
2016,4,5,133,294,0,0
2016,4,6,150,311,0,0
2016,4,7,150,206,15,0
2016,4,8,150,161,36,0
2016,4,9,156,178,10,0
2016,4,10,144,211,0,0
2016,4,11,150,228,0,0
2016,4,12,133,239,0,0
2016,4,13,139,228,0,0
2016,4,14,139,222,0,0
2016,4,15,150,272,0,0
2016,4,16,144,278,0,0
2016,4,17,144,317,0,0
2016,4,18,150,317,0,0
2016,4,19,167,317,0,0
2016,4,20,156,306,0,0
2016,4,21,144,256,0,0
2016,4,22,156,228,0,0
2016,4,23,139,244,0,0
2016,4,24,144,239,0,0
2016,4,25,128,206,0,0
2016,4,26,117,211,0,0
2016,4,27,128,211,0,0
2016,4,28,128,217,0,0
2016,4,29,133,206,0,0
2016,4,30,133,206,0,0
2016,5,1,144,228,0,0
2016,5,2,133,222,0,0
2016,5,3,139,250,0,0
2016,5,4,133,206,0,0
2016,5,5,139,200,13,0
2016,5,6,139,194,0,0
2016,5,7,139,200,0,0
2016,5,8,139,217,0,0
2016,5,9,144,200,0,0
2016,5,10,139,211,0,0
2016,5,11,150,222,0,0
2016,5,12,144,239,0,0
2016,5,13,156,256,0,0
2016,5,14,167,222,0,0
2016,5,15,167,222,0,0
2016,5,16,161,217,0,0
2016,5,17,161,222,0,0
2016,5,18,161,217,0,0
2016,5,19,167,222,0,0
2016,5,20,144,211,0,0
2016,5,21,133,217,0,0
2016,5,22,133,222,0,0
2016,5,23,139,233,0,0
2016,5,24,144,217,0,0
2016,5,25,133,200,0,0
2016,5,26,144,233,0,0
2016,5,27,144,228,0,0
2016,5,28,161,222,0,0
2016,5,29,156,217,0,0
2016,5,30,144,222,0,0
2016,5,31,156,233,0,0
2016,6,1,172,239,0,0
2016,6,2,156,256,0,0
2016,6,3,150,306,0,0
2016,6,4,150,250,0,0
2016,6,5,144,217,0,0
2016,6,6,144,228,0,0
2016,6,7,156,239,0,0
2016,6,8,156,250,0,0
2016,6,9,167,222,0,0
2016,6,10,167,250,0,0
2016,6,11,167,211,0,0
2016,6,12,156,222,0,0
2016,6,13,156,217,0,0
2016,6,14,156,222,0,0
2016,6,15,167,222,0,0
2016,6,16,150,244,0,0
2016,6,17,156,289,0,0
2016,6,18,172,317,0,0
2016,6,19,189,356,0,0
2016,6,20,217,383,0,0
2016,6,21,194,317,0,0
2016,6,22,172,289,0,0
2016,6,23,178,267,0,0
2016,6,24,178,261,0,0
2016,6,25,183,267,0,0
2016,6,26,183,278,0,0
2016,6,27,183,311,0,0
2016,6,28,194,300,0,0
2016,6,29,189,300,0,0
2016,6,30,189,278,0,0
2016,7,1,189,267,0,0
2016,7,2,178,272,0,0
2016,7,3,172,250,0,0
2016,7,4,172,233,0,0
2016,7,5,172,250,0,0
2016,7,6,172,256,0,0
2016,7,7,178,267,0,0
2016,7,8,172,283,0,0
2016,7,9,172,300,0,0
2016,7,10,189,278,0,0
2016,7,11,183,283,0,0
2016,7,12,183,261,0,0
2016,7,13,178,283,0,0
2016,7,14,178,283,0,0
2016,7,15,172,283,0,0
2016,7,16,178,283,0,0
2016,7,17,172,267,0,0
2016,7,18,183,278,0,0
2016,7,19,178,278,0,0
2016,7,20,189,317,0,0
2016,7,21,194,333,0,0
2016,7,22,200,350,0,0
2016,7,23,217,361,0,0
2016,7,24,206,333,0,0
2016,7,25,206,328,0,0
2016,7,26,200,300,0,0
2016,7,27,200,317,0,0
2016,7,28,206,311,0,0
2016,7,29,206,311,0,0
2016,7,30,211,294,0,0
2016,7,31,206,311,0,0
2016,8,1,194,294,0,0
2016,8,2,189,294,0,0
2016,8,3,194,283,0,0
2016,8,4,189,289,0,0
2016,8,5,189,267,0,0
2016,8,6,183,261,0,0
2016,8,7,189,267,0,0
2016,8,8,194,272,0,0
2016,8,9,194,272,0,0
2016,8,10,189,278,0,0
2016,8,11,189,272,0,0
2016,8,12,183,261,0,0
2016,8,13,183,289,0,0
2016,8,14,194,300,0,0
2016,8,15,183,328,0,0
2016,8,16,172,300,0,0
2016,8,17,156,289,0,0
2016,8,18,161,283,0,0
2016,8,19,161,267,0,0
2016,8,20,167,244,0,0
2016,8,21,172,283,0,0
2016,8,22,172,289,0,0
2016,8,23,178,283,0,0
2016,8,24,178,283,0,0
2016,8,25,172,278,0,0
2016,8,26,178,256,0,0
2016,8,27,178,250,0,0
2016,8,28,172,272,0,0
2016,8,29,178,300,0,0
2016,8,30,194,311,0,0
2016,8,31,194,283,0,0
2016,9,1,183,289,0,0
2016,9,2,183,267,0,0
2016,9,3,183,256,0,0
2016,9,4,178,250,0,0
2016,9,5,178,244,0,0
2016,9,6,167,267,0,0
2016,9,7,172,272,0,0
2016,9,8,183,261,0,0
2016,9,9,178,256,0,0
2016,9,10,172,272,0,0
2016,9,11,167,261,0,0
2016,9,12,172,228,0,0
2016,9,13,156,211,0,0
2016,9,14,144,233,0,0
2016,9,15,156,272,0,0
2016,9,16,156,256,0,0
2016,9,17,161,278,0,0
2016,9,18,161,322,0,0
2016,9,19,172,300,0,0
2016,9,20,217,317,0,0
2016,9,21,194,289,0,0
2016,9,22,189,261,0,0
2016,9,23,167,261,0,0
2016,9,24,156,322,0,0
2016,9,25,172,356,0,0
2016,9,26,206,400,0,0
2016,9,27,217,361,0,0
2016,9,28,217,322,0,0
2016,9,29,206,333,0,0
2016,9,30,194,311,0,0
2016,10,1,178,300,0,0
2016,10,2,167,256,0,0
2016,10,3,150,244,0,0
2016,10,4,172,256,0,0
2016,10,5,150,244,0,0
2016,10,6,139,272,0,0
2016,10,7,156,328,0,0
2016,10,8,161,322,0,0
2016,10,9,161,328,0,0
2016,10,10,167,289,0,0
2016,10,11,150,217,0,0
2016,10,12,150,211,0,0
2016,10,13,139,239,0,0
2016,10,14,156,233,0,0
2016,10,15,172,244,0,0
2016,10,16,178,239,0,0
2016,10,17,161,228,86,0
2016,10,18,150,244,0,0
2016,10,19,139,322,0,0
2016,10,20,161,350,0,0
2016,10,21,178,333,0,0
2016,10,22,156,294,0,0
2016,10,23,161,267,13,0
2016,10,24,167,244,23,0
2016,10,25,150,233,0,0
2016,10,26,144,250,0,0
2016,10,27,156,267,0,0
2016,10,28,172,250,3,0
2016,10,29,156,267,0,0
2016,10,30,161,200,8,0
2016,10,31,139,206,0,0
2016,11,1,144,211,0,0
2016,11,2,122,256,0,0
2016,11,3,139,311,0,0
2016,11,4,144,283,0,0
2016,11,5,139,272,0,0
2016,11,6,133,244,0,0
2016,11,7,133,261,0,0
2016,11,8,139,322,0,0
2016,11,9,178,339,0,0
2016,11,10,172,322,0,0
2016,11,11,161,306,0,0
2016,11,12,167,278,0,0
2016,11,13,156,311,0,0
2016,11,14,161,311,0,0
2016,11,15,133,256,0,0
2016,11,16,128,211,0,0
2016,11,17,111,222,0,0
2016,11,18,122,256,0,0
2016,11,19,94,239,0,0
2016,11,20,122,183,140,0
2016,11,21,133,194,51,0
2016,11,22,111,211,0,0
2016,11,23,100,222,0,0
2016,11,24,111,256,0,0
2016,11,25,106,239,0,0
2016,11,27,100,183,0,0
2016,11,28,83,178,0,0
2016,11,29,83,206,0,0
2016,11,30,72,200,0,0
2016,12,1,100,189,0,0
2016,12,2,94,183,0,0
2016,12,3,61,200,0,0
2016,12,4,67,217,0,0
2016,12,5,83,189,0,0
2016,12,6,111,183,0,0
2016,12,7,100,183,0,0
2016,12,8,94,189,0,0
2016,12,9,106,183,0,0
2016,12,10,122,189,0,0
2016,12,11,150,183,0,0
2016,12,12,133,194,0,0
2016,12,13,122,194,0,0
2016,12,14,106,217,0,0
2016,12,15,122,183,109,0
2016,12,17,83,167,0,0
2016,12,18,56,194,0,0
2016,12,19,44,217,0,0
2016,12,20,94,261,0,0
2016,12,21,122,211,127,0
2016,12,22,122,194,69,0
2016,12,23,111,178,358,0
2016,12,25,61,144,0,0
2016,12,26,78,178,0,0
2016,12,27,83,222,0,0
2016,12,28,117,267,0,0
2016,12,29,128,278,0,0
2016,12,30,128,194,99,0