Month,MinTemp,MaxTemp,AvgTemp,TotalRain,TotalSnow
1,-11.6,15,1.3999999999999997,112.1,708
2,-18.2,16.1,3.203448275862069,111.99999999999999,103
3,-3.2,26.1,9.38225806451613,29.8,23
4,-3.2,27.8,11.855,41.1,0
5,6.1,33.3,17.10645161290323,95.4,0
6,11.1,31.1,22.353333333333335,65.99999999999999,0
7,17.2,35.6,25.933870967741935,178.3,0
8,16.1,35.6,26.21290322580645,50.199999999999996,0
9,12.2,32.8,22.111666666666665,71,0
10,3.3,29.4,14.866129032258069,105.39999999999999,0
11,1.1,22.2,9.865,137.5,0
12,-8.2,15.6,3.5403225806451606,73.39999999999999,81